Begin IJ Block
1   1   -25.5972877533
1   2   -0.0000000000
1   3   0.4902376549
1   4   -0.0000000009
1   5   0.0304425810
2   2   -25.5971706827
2   3   0.0000000009
2   4   0.4962098317
2   5   0.0000000001
3   3   -6.5156657319
3   4   -0.0000000000
3   5   0.0868221151
4   4   -6.5245342938
4   5   -0.0000000000
4   6   -0.0000000000
5   5   -5.7333055731
6   6   -5.7601577561
7   7   -5.7601577561

End IJ Block
Begin IA Block
1   1   0.0000000000
1   3   -0.0000000000
1   4   -0.1551848580
1   8   0.0000000000
1   9   0.0000000005
1   10   0.3729569338
1   11   0.0000000005
1   16   0.0045101430
2   3   0.0193116692
2   4   -0.0000000003
2   6   0.0000000000
2   9   -0.2900281065
2   10   0.0000000007
2   11   -0.2779580008
2   13   0.0000000000
2   14   0.0000000000
2   16   0.0000000000
3   1   0.0000000000
3   4   0.4929758395
3   7   0.0000000000
3   8   -0.0000000000
3   9   -0.0000000000
3   10   -1.1233854446
3   11   -0.0000000000
3   16   -0.0453702198
4   3   -0.2136342845
4   4   0.0000000000
4   6   -0.0000000000
4   9   0.9325485957
4   10   -0.0000000000
4   11   0.7824157015
4   13   0.0000000000
5   1   -0.0000000000
5   3   0.0000000000
5   4   -1.3213947868
5   7   0.0000000000
5   8   -0.0000000001
5   9   -0.0000000000
5   10   -0.7040753002
5   11   0.0000000000
5   16   0.1657974326
6   1   -0.0000000002
6   2   -0.0000000002
6   5   0.0003276037
6   6   1.5528736091
6   7   -0.0000000013
6   8   -0.0000000019
6   9   -0.0000000000
6   11   0.0000000000
6   14   -0.1083665225
6   15   -0.0000078021
7   1   0.0000000002
7   2   -0.0000000002
7   5   1.5528736091
7   6   -0.0003276037
7   7   -0.0000000019
7   8   0.0000000013
7   12   0.0000000000
7   14   -0.0000078021
7   15   0.1083665225

End IA Block
Begin AB Block
1   1   -5.7901087802
1   4   -0.0000000001
1   5   -0.0000000021
1   6   0.0000000019
1   7   -0.3915043756
1   8   1.5095117910
1   10   -0.0000000000
1   12   -0.0000000000
1   13   -0.0000000000
1   14   -0.0000000004
1   15   -0.0000000004
1   16   0.0000000000
2   2   -5.7901087802
2   4   0.0000000000
2   5   0.0000000019
2   6   0.0000000021
2   7   1.5095117910
2   8   0.3915043756
2   10   0.0000000000
2   12   0.0000000000
2   13   -0.0000000000
2   14   -0.0000000004
2   15   0.0000000004
2   16   -0.0000000000
3   3   -5.9079556879
3   4   0.0000000000
3   6   -0.0000000001
3   9   -1.1278238355
3   10   0.0000000000
3   11   1.0376890088
3   13   -0.0000000001
3   14   0.0000000000
3   16   -0.0000000000
4   4   -4.9825800175
4   7   -0.0000000000
4   8   0.0000000000
4   9   0.0000000000
4   10   -0.0355896194
4   11   -0.0000000000
4   16   -0.0195568914
5   5   -4.6182057627
5   7   -0.0000000003
5   8   0.0000000002
5   14   -0.0000059972
5   15   0.0211941375
6   6   -4.6182057627
6   7   -0.0000000002
6   8   -0.0000000003
6   9   -0.0000000000
6   11   0.0000000000
6   14   -0.0211941375
6   15   -0.0000059972
7   7   -4.5506330805
7   10   -0.0000000000
7   14   -0.0000000000
7   15   0.0000000000
8   8   -4.5506330805
8   10   0.0000000000
8   14   -0.0000000000
8   15   -0.0000000000
9   9   -4.2104924484
9   10   0.0000000000
9   11   0.1756598210
10   10   -4.0916642497
10   11   -0.0000000000
10   16   -0.0042874798
11   11   -4.4153352516
11   13   -0.0000000001
12   12   -3.6734922439
13   13   -3.6734922439
14   14   -3.7003610081
15   15   -3.7003610081
16   16   -3.7064329599

End AB Block
Begin IJKL Block
1   8   1   8   2.1472633280
1   8   1   9   -0.0000000069
1   8   1   10   -0.2026645700
1   8   1   11   0.0000000011
1   8   1   12   -0.0100212505
1   8   2   8   -0.0000000069
1   8   2   9   1.9804719908
1   8   2   10   0.0000000004
1   8   2   11   -0.2052902983
1   8   2   12   0.0000000000
1   8   3   8   -0.2026645700
1   8   3   9   0.0000000004
1   8   3   10   0.0321964712
1   8   3   11   -0.0000000001
1   8   3   12   0.0013752466
1   8   4   8   0.0000000011
1   8   4   9   -0.2052902983
1   8   4   10   -0.0000000001
1   8   4   11   0.0330537804
1   8   4   12   -0.0000000000
1   8   5   8   -0.0100212505
1   8   5   9   0.0000000000
1   8   5   10   0.0013752466
1   8   5   11   -0.0000000000
1   8   5   12   0.0109257223
1   8   6   13   0.0118019011
1   8   7   14   0.0118019011
1   9   1   8   -0.0000000069
1   9   1   9   2.1472208826
1   9   1   10   0.0000000004
1   9   1   11   -0.2053291177
1   9   1   12   0.0000000000
1   9   2   8   1.9804721803
1   9   2   9   0.0000000069
1   9   2   10   -0.2027262982
1   9   2   11   -0.0000000004
1   9   2   12   -0.0082882860
1   9   3   8   0.0000000004
1   9   3   9   -0.2026624071
1   9   3   11   0.0325982355
1   9   4   8   -0.2052905468
1   9   4   9   -0.0000000004
1   9   4   10   0.0326008018
1   9   4   12   0.0019009024
1   9   5   8   0.0000000000
1   9   5   9   -0.0100212511
1   9   5   11   0.0019032163
1   9   5   13   -0.0000000000
1   9   6   12   -0.0000000000
1   9   6   13   -0.0000000000
1   9   6   14   0.0000000000
1   9   7   13   0.0000000000
1   9   7   14   0.0000000000
1   10   1   8   -0.2026645700
1   10   1   9   0.0000000004
1   10   1   10   0.5734256461
1   10   1   11   -0.0000000014
1   10   1   12   -0.0009880594
1   10   2   8   0.0000000004
1   10   2   9   -0.2027305468
1   10   2   10   -0.0000000000
1   10   2   11   0.4073446987
1   10   3   8   0.0323602389
1   10   3   10   -0.0083759812
1   10   3   11   0.0000000000
1   10   3   12   -0.0004794766
1   10   4   8   -0.0000000001
1   10   4   9   0.0326433201
1   10   4   10   0.0000000000
1   10   4   11   -0.0087680653
1   10   5   8   0.0014117494
1   10   5   10   -0.0014903706
1   10   5   11   -0.0000000000
1   10   5   12   0.0129071574
1   10   6   13   0.0136460088
1   10   7   14   0.0136460088
1   11   1   8   0.0000000011
1   11   1   9   -0.2053291177
1   11   1   10   -0.0000000014
1   11   1   11   0.5774899305
1   11   1   12   -0.0000000001
1   11   2   8   -0.2052905468
1   11   2   9   -0.0000000004
1   11   2   10   0.4073480600
1   11   2   11   0.0000000000
1   11   2   12   0.0385197093
1   11   3   8   -0.0000000001
1   11   3   9   0.0326439952
1   11   3   10   0.0000000000
1   11   3   11   -0.0088363344
1   11   3   12   0.0000000000
1   11   4   8   0.0330806958
1   11   4   10   -0.0087854251
1   11   4   11   0.0000000000
1   11   4   12   -0.0001126306
1   11   5   8   -0.0000000000
1   11   5   9   0.0019071527
1   11   5   10   -0.0000000000
1   11   5   11   -0.0002116058
1   11   5   12   -0.0000000000
1   11   5   13   -0.0000000000
1   11   6   12   -0.0000000000
1   11   6   13   -0.0000000001
1   11   6   14   0.0000000001
1   11   7   13   0.0000000001
1   11   7   14   0.0000000000
1   12   1   8   -0.0100212505
1   12   1   9   0.0000000000
1   12   1   10   -0.0009880594
1   12   1   11   -0.0000000001
1   12   1   12   0.5134913717
1   12   2   8   0.0000000000
1   12   2   9   -0.0082892507
1   12   2   11   0.0385185101
1   12   2   12   -0.0000000000
1   12   2   13   -0.0000000000
1   12   3   8   0.0014117494
1   12   3   10   -0.0004619494
1   12   3   11   0.0000000000
1   12   3   12   -0.0046349085
1   12   4   8   -0.0000000000
1   12   4   9   0.0019036842
1   12   4   11   -0.0001179120
1   12   4   12   0.0000000000
1   12   5   8   0.0109398730
1   12   5   10   0.0127734612
1   12   5   11   -0.0000000000
1   12   5   12   -0.0006096687
1   12   6   9   -0.0000000000
1   12   6   11   -0.0000000000
1   12   6   13   0.0004426986
1   12   7   14   0.0004426986
1   13   1   13   0.5234836052
1   13   2   12   -0.0000000000
1   13   2   13   -0.0000000009
1   13   2   14   0.0000000013
1   13   3   13   -0.0050055700
1   13   4   13   0.0000000000
1   13   4   14   -0.0000000000
1   13   5   9   -0.0000000000
1   13   5   11   -0.0000000000
1   13   5   13   -0.0011231524
1   13   6   8   0.0118175084
1   13   6   9   -0.0000000000
1   13   6   10   0.0135109475
1   13   6   11   -0.0000000001
1   13   6   12   0.0004494732
1   13   7   9   0.0000000000
1   13   7   11   0.0000000001
1   14   1   14   0.5234836052
1   14   2   13   0.0000000013
1   14   2   14   0.0000000009
1   14   3   14   -0.0050055700
1   14   4   13   -0.0000000000
1   14   4   14   -0.0000000000
1   14   5   14   -0.0011231524
1   14   6   9   0.0000000000
1   14   6   11   0.0000000001
1   14   7   8   0.0118175084
1   14   7   9   0.0000000000
1   14   7   10   0.0135109475
1   14   7   11   0.0000000000
1   14   7   12   0.0004494732
2   8   1   8   -0.0000000069
2   8   1   9   1.9804721803
2   8   1   10   0.0000000004
2   8   1   11   -0.2052905468
2   8   1   12   0.0000000000
2   8   2   8   2.1472208826
2   8   2   9   0.0000000069
2   8   2   10   -0.2026624071
2   8   2   11   -0.0000000004
2   8   2   12   -0.0100212511
2   8   3   8   0.0000000004
2   8   3   9   -0.2027262982
2   8   3   11   0.0326008018
2   8   4   8   -0.2053291177
2   8   4   9   -0.0000000004
2   8   4   10   0.0325982355
2   8   4   12   0.0019032163
2   8   5   8   0.0000000000
2   8   5   9   -0.0082882860
2   8   5   11   0.0019009024
2   8   5   13   -0.0000000000
2   8   6   12   -0.0000000000
2   8   6   13   -0.0000000000
2   8   6   14   0.0000000000
2   8   7   13   0.0000000000
2   8   7   14   0.0000000000
2   9   1   8   1.9804719908
2   9   1   9   0.0000000069
2   9   1   10   -0.2027305468
2   9   1   11   -0.0000000004
2   9   1   12   -0.0082892507
2   9   2   8   0.0000000069
2   9   2   9   2.1471786170
2   9   2   10   -0.0000000011
2   9   2   11   -0.2053225094
2   9   2   12   -0.0000000000
2   9   3   8   -0.2027305468
2   9   3   9   -0.0000000011
2   9   3   10   0.0321833464
2   9   3   11   0.0000000001
2   9   3   12   0.0013764721
2   9   4   8   -0.0000000004
2   9   4   9   -0.2053225094
2   9   4   10   0.0000000001
2   9   4   11   0.0330531091
2   9   4   12   0.0000000000
2   9   5   8   -0.0082892507
2   9   5   9   -0.0000000000
2   9   5   10   0.0013764721
2   9   5   11   0.0000000000
2   9   5   12   0.0108904664
2   9   6   13   0.0117828030
2   9   7   14   0.0117828030
2   10   1   8   0.0000000004
2   10   1   9   -0.2027262982
2   10   1   10   -0.0000000000
2   10   1   11   0.4073480600
2   10   2   8   -0.2026624071
2   10   2   9   -0.0000000011
2   10   2   10   0.5734135383
2   10   2   11   0.0000000014
2   10   2   12   -0.0009883285
2   10   3   9   0.0323538879
2   10   3   10   -0.0000000000
2   10   3   11   -0.0086509333
2   10   4   8   0.0326439952
2   10   4   9   0.0000000001
2   10   4   10   -0.0087315866
2   10   4   11   -0.0000000000
2   10   4   12   0.0001178881
2   10   5   9   0.0014136952
2   10   5   10   -0.0000000000
2   10   5   11   0.0008782094
2   10   5   12   0.0000000000
2   10   5   13   -0.0000000000
2   10   6   12   -0.0000000000
2   10   6   13   -0.0000000000
2   10   6   14   0.0000000001
2   10   7   13   0.0000000001
2   10   7   14   0.0000000001
2   11   1   8   -0.2052902983
2   11   1   9   -0.0000000004
2   11   1   10   0.4073446987
2   11   1   11   0.0000000000
2   11   1   12   0.0385185101
2   11   2   8   -0.0000000004
2   11   2   9   -0.2053225094
2   11   2   10   0.0000000014
2   11   2   11   0.5774887651
2   11   2   12   0.0000000001
2   11   3   8   0.0326433201
2   11   3   9   0.0000000001
2   11   3   10   -0.0087415640
2   11   3   11   -0.0000000000
2   11   3   12   -0.0007040026
2   11   4   9   0.0330802291
2   11   4   10   -0.0000000000
2   11   4   11   -0.0089035686
2   11   5   8   0.0019036842
2   11   5   9   0.0000000000
2   11   5   10   0.0008352331
2   11   5   12   0.0125435197
2   11   6   13   0.0135270418
2   11   7   14   0.0135270418
2   12   1   8   0.0000000000
2   12   1   9   -0.0082882860
2   12   1   11   0.0385197093
2   12   1   12   -0.0000000000
2   12   1   13   -0.0000000000
2   12   2   8   -0.0100212511
2   12   2   9   -0.0000000000
2   12   2   10   -0.0009883285
2   12   2   11   0.0000000001
2   12   2   12   0.5134982099
2   12   3   9   0.0014136952
2   12   3   11   -0.0006668986
2   12   3   12   -0.0000000000
2   12   4   8   0.0019071527
2   12   4   9   0.0000000000
2   12   4   10   0.0001102420
2   12   4   12   -0.0045214826
2   12   5   9   0.0109080185
2   12   5   10   0.0000000000
2   12   5   11   0.0125301458
2   12   5   12   -0.0000000000
2   12   6   8   -0.0000000000
2   12   6   10   -0.0000000000
2   12   6   14   0.0000000000
2   12   7   13   0.0000000000
2   12   7   14   0.0000000000
2   13   1   12   -0.0000000000
2   13   1   13   -0.0000000009
2   13   1   14   0.0000000013
2   13   2   13   0.5234908377
2   13   3   13   0.0000000000
2   13   3   14   -0.0000000000
2   13   4   13   -0.0049073292
2   13   5   8   -0.0000000000
2   13   5   10   -0.0000000000
2   13   5   13   -0.0000000000
2   13   5   14   0.0000000000
2   13   6   8   -0.0000000000
2   13   6   9   0.0118013227
2   13   6   10   -0.0000000000
2   13   6   11   0.0135029738
2   13   7   8   0.0000000000
2   13   7   10   0.0000000000
2   13   7   12   0.0000000000
2   14   1   13   0.0000000013
2   14   1   14   0.0000000009
2   14   2   14   0.5234908377
2   14   3   13   -0.0000000000
2   14   3   14   -0.0000000000
2   14   4   14   -0.0049073292
2   14   5   13   0.0000000000
2   14   6   8   0.0000000000
2   14   6   10   0.0000000000
2   14   6   12   0.0000000000
2   14   7   8   0.0000000000
2   14   7   9   0.0118013227
2   14   7   10   0.0000000001
2   14   7   11   0.0135029738
2   14   7   12   0.0000000000
3   8   1   8   -0.2026645700
3   8   1   9   0.0000000004
3   8   1   10   0.0323602389
3   8   1   11   -0.0000000001
3   8   1   12   0.0014117494
