Begin IJ Block
1   1   -25.5586102482
1   2   -0.0000000002
1   3   0.4927612528
1   4   -0.0000000308
1   5   0.0276118355
2   2   -25.5586099753
2   3   0.0000000307
2   4   0.4961821510
2   5   0.0000000017
2   7   0.0000000000
3   3   -6.4733333047
3   4   -0.0000000001
3   5   0.0842972660
4   4   -6.4839595824
4   5   -0.0000000001
4   7   -0.0000000000
5   5   -5.6913266803
6   6   -5.7221998579
7   7   -5.7221998579

End IJ Block
Begin IA Block
1   1   0.0000000000
1   2   0.0000000000
1   3   -0.0000000010
1   4   -0.1424949282
1   7   -0.0000000000
1   8   0.0000000000
1   9   0.0000000180
1   10   0.3780315322
1   11   0.0000000176
1   16   0.0032843554
2   3   0.0161056194
2   4   -0.0000000089
2   6   0.0000000000
2   9   -0.2871077207
2   10   0.0000000237
2   11   -0.2818291075
2   12   0.0000000000
2   15   0.0000000001
2   16   0.0000000002
3   1   0.0000000000
3   2   0.0000000000
3   3   -0.0000000000
3   4   0.4546051277
3   7   0.0000000000
3   8   -0.0000000000
3   9   -0.0000000005
3   10   -1.1441550588
3   11   -0.0000000002
3   16   -0.0386397361
4   3   -0.1972919587
4   4   0.0000000002
4   6   -0.0000000000
4   9   0.9175745989
4   10   -0.0000000005
4   11   0.8008459345
4   12   0.0000000000
4   15   0.0000000001
4   16   0.0000000000
5   1   -0.0000000000
5   2   -0.0000000000
5   3   0.0000000001
5   4   -1.3573797786
5   7   0.0000000000
5   8   -0.0000000002
5   9   -0.0000000008
5   10   -0.6538114331
5   11   0.0000000006
5   13   0.0000000000
5   14   -0.0000000000
5   16   0.1484988136
6   1   0.0000000008
6   2   -0.0000000017
6   5   1.5543865895
6   6   -0.0000001093
6   7   -0.0000000107
6   8   -0.0000000003
6   12   0.0000035158
6   13   0.0988609104
6   14   0.0000000000
6   15   0.0000000000
6   16   -0.0000000000
7   1   -0.0000000018
7   2   -0.0000000008
7   3   0.0000000000
7   5   0.0000001093
7   6   1.5543865895
7   7   0.0000000001
7   8   -0.0000000096
7   9   -0.0000000001
7   11   0.0000000002
7   12   -0.0988609104
7   13   0.0000035158

End IA Block
Begin AB Block
1   1   -5.7447797334
1   4   -0.0000000002
1   5   -0.0000000054
1   6   0.0000000112
1   7   -0.6662617603
1   8   1.4082699826
1   10   -0.0000000001
1   12   -0.0000000023
1   13   -0.0000000011
1   14   0.0000000000
1   15   -0.0000000000
1   16   0.0000000000
2   2   -5.7447797334
2   4   -0.0000000001
2   5   0.0000000124
2   6   0.0000000051
2   7   1.4082699826
2   8   0.6662617603
2   10   -0.0000000000
2   12   -0.0000000010
2   13   0.0000000024
2   14   -0.0000000000
2   15   -0.0000000000
2   16   0.0000000000
3   3   -5.8521216934
3   4   0.0000000010
3   6   -0.0000000003
3   9   -1.1374854523
3   10   0.0000000008
3   11   1.0231622923
3   12   0.0000000000
3   15   -0.0000000006
3   16   0.0000000000
4   4   -4.9097293520
4   7   -0.0000000000
4   8   0.0000000000
4   9   0.0000000002
4   10   -0.0179513143
4   11   -0.0000000002
4   16   -0.0199333503
5   5   -4.5766519279
5   7   -0.0000000015
5   8   -0.0000000000
5   12   0.0000006976
5   13   0.0196560523
6   6   -4.5766519279
6   7   0.0000000000
6   8   -0.0000000016
6   9   -0.0000000000
6   11   0.0000000000
6   12   -0.0196560523
6   13   0.0000006976
7   7   -4.5236830890
7   10   -0.0000000000
7   12   0.0000000000
7   13   0.0000000002
7   14   -0.0000000000
8   8   -4.5236830890
8   10   0.0000000000
8   12   -0.0000000002
8   13   0.0000000000
8   15   -0.0000000000
8   16   0.0000000000
9   9   -4.1884135285
9   10   0.0000000002
9   11   0.1859139522
